,caseid,country,year,province,age,education,if_union,if_urban,wealth_index,wealth_index_code,house_ownership,land_owenership,if_own_house,if_own_land,if_employment,if_employment_current,employment_pay_method,if_earn_more,partner_edu,num_household,num_child,sex_head_household,sexual_activity,ideal_num_child,partner_ideal_child,money_decide_person,if_emo_vio,if_phy_vio,if_phy_vio_severe,if_sex_vio,if_vio,num_vio
17,       1  73  2,Nepal,2016,province 1,36,4,1,urban,poorest,0,does not own,does not own,0,0,currently working,1,not paid,,10.0,6,4,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
19,       1  81  4,Nepal,2016,province 1,24,9,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,not paid,,8.0,5,1,male,not active in last 4 weeks - postpartum abstinence,2,husband wants more,,0,0,0,0,0,0
20,       1  85  2,Nepal,2016,province 1,35,11,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,11.0,7,4,male,active in last 4 weeks,2,both want same,,,,,,,
21,       1  89  2,Nepal,2016,province 1,26,3,1,urban,poorest,0,does not own,does not own,0,0,currently working,1,not paid,,5.0,7,2,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
22,       1  97  3,Nepal,2016,province 1,23,9,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,11.0,5,2,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
23,       1 101  2,Nepal,2016,province 1,49,9,1,urban,poorer,1,does not own,alone only,0,1,currently working,1,not paid,,9.0,4,4,male,active in last 4 weeks,2,both want same,,,,,,,
24,       1 117  2,Nepal,2016,province 1,35,10,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,10.0,6,3,male,active in last 4 weeks,2,both want same,,,,,,,
25,       2   4  2,Nepal,2016,province 1,23,0,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash only,less than him,5.0,6,3,male,active in last 4 weeks,2,both want same,husband/partner alone,1,1,1,1,1,3
26,       2  10  1,Nepal,2016,province 1,26,0,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,about the same,2.0,4,4,female,active in last 4 weeks,4,husband wants more,respondent and husband/partner,,,,,,
27,       2  17  2,Nepal,2016,province 1,34,0,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,4.0,5,4,male,active in last 4 weeks,3,,respondent alone,1,1,1,0,1,2
28,       2  23  2,Nepal,2016,province 1,44,9,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash and in-kind,less than him,7.0,5,3,male,active in last 4 weeks,2,husband wants more,respondent alone,,,,,,
31,       2  30  1,Nepal,2016,province 1,30,0,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,5.0,6,4,female,not active in last 4 weeks - not postpartum abstinence,3,,respondent alone,1,1,1,1,1,3
32,       2  36  2,Nepal,2016,province 1,40,0,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash only,about the same,0.0,10,4,male,active in last 4 weeks,3,both want same,respondent alone,,,,,,
33,       2  36  3,Nepal,2016,province 1,16,0,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash only,husband/partner doesn't bring in money,6.0,10,1,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
34,       2  36 10,Nepal,2016,province 1,18,2,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash only,less than him,3.0,10,0,male,active in last 4 weeks,4,both want same,respondent and husband/partner,,,,,,
36,       2  56  2,Nepal,2016,province 1,48,0,1,urban,richer,3,does not own,alone only,0,1,no,0,,,0.0,4,3,male,not active in last 4 weeks - not postpartum abstinence,2,,,0,0,0,0,0,0
37,       2  62  1,Nepal,2016,province 1,26,0,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,5.0,4,3,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
38,       2  75  2,Nepal,2016,province 1,46,9,1,urban,richer,3,does not own,alone only,0,1,no,0,,,10.0,3,3,male,active in last 4 weeks,2,both want same,,,,,,,
39,       2  82  2,Nepal,2016,province 1,49,0,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,about the same,0.0,7,11,male,active in last 4 weeks,2,husband wants more,respondent and husband/partner,,,,,,
40,       2  82  4,Nepal,2016,province 1,16,7,1,urban,middle,2,does not own,does not own,0,0,no,0,,,9.0,7,0,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
41,       2  95  4,Nepal,2016,province 1,18,9,1,urban,richer,3,does not own,does not own,0,0,no,0,,,11.0,5,0,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
44,       2 153  1,Nepal,2016,province 1,35,3,1,urban,richer,3,does not own,alone only,0,1,no,0,,,10.0,4,2,female,not active in last 4 weeks - not postpartum abstinence,3,both want same,,,,,,,
46,       2 160  3,Nepal,2016,province 1,36,5,1,urban,richer,3,does not own,does not own,0,0,no,0,,,10.0,8,2,male,not active in last 4 weeks - not postpartum abstinence,3,both want same,,,,,,,
49,       2 166  2,Nepal,2016,province 1,25,2,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash only,less than him,1.0,6,3,male,active in last 4 weeks,4,both want same,husband/partner alone,,,,,,
50,       2 173  2,Nepal,2016,province 1,32,10,1,urban,middle,2,does not own,alone only,0,1,currently working,1,not paid,,10.0,5,2,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
51,       2 186  2,Nepal,2016,province 1,28,0,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash only,less than him,8.0,3,4,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,0,0,0,0,0,0
52,       2 192  2,Nepal,2016,province 1,30,9,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,more than him,8.0,3,1,male,active in last 4 weeks,3,don't know,respondent alone,,,,,,
54,       3  17  2,Nepal,2016,province 1,28,8,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,about the same,8.0,3,0,male,active in last 4 weeks,2,both want same,respondent alone,0,0,0,0,0,0
55,       3  24  2,Nepal,2016,province 1,39,7,1,urban,poorer,1,alone only,does not own,1,0,no,0,,,0.0,5,4,male,active in last 4 weeks,2,husband wants more,,,,,,,
57,       3  45  4,Nepal,2016,province 1,25,9,1,urban,poorer,1,does not own,does not own,0,0,in the past year,0,cash only,less than him,8.0,5,1,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
58,       3  52  1,Nepal,2016,province 1,38,5,1,urban,richer,3,does not own,does not own,0,0,no,0,,,10.0,4,4,female,not active in last 4 weeks - not postpartum abstinence,2,husband wants more,,,,,,,
60,       3  59  2,Nepal,2016,province 1,37,0,1,urban,middle,2,does not own,does not own,0,0,no,0,,,9.0,3,3,male,not active in last 4 weeks - not postpartum abstinence,2,,,0,0,0,0,0,0
62,       3  66  3,Nepal,2016,province 1,38,9,1,urban,richer,3,does not own,alone only,0,1,no,0,,,7.0,6,4,male,active in last 4 weeks,2,husband wants more,,,,,,,
63,       3  87  2,Nepal,2016,province 1,39,4,1,urban,middle,2,does not own,does not own,0,0,no,0,,,0.0,4,2,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
64,       3  87  3,Nepal,2016,province 1,21,7,1,urban,middle,2,does not own,does not own,0,0,in the past year,0,cash only,less than him,10.0,4,1,male,not active in last 4 weeks - postpartum abstinence,2,both want same,respondent alone,,,,,,
65,       3  94  3,Nepal,2016,province 1,22,11,1,urban,richer,3,does not own,does not own,0,0,in the past year,0,cash only,less than him,10.0,7,1,female,not active in last 4 weeks - postpartum abstinence,2,both want same,respondent alone,,,,,,
66,       3  94  6,Nepal,2016,province 1,32,0,1,urban,richer,3,does not own,does not own,0,0,no,0,,,7.0,7,1,female,active in last 4 weeks,1,both want same,,,,,,,
68,       3 108  4,Nepal,2016,province 1,34,9,1,urban,richer,3,does not own,does not own,0,0,no,0,,,9.0,5,3,male,active in last 4 weeks,1,both want same,,,,,,,
69,       3 115  4,Nepal,2016,province 1,18,10,1,urban,richer,3,does not own,does not own,0,0,in the past year,0,cash only,less than him,10.0,4,0,female,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
70,       3 122  2,Nepal,2016,province 1,42,2,1,urban,middle,2,does not own,does not own,0,0,no,0,,,9.0,5,4,male,active in last 4 weeks,2,both want same,,,,,,,
72,       3 129  1,Nepal,2016,province 1,38,0,1,urban,middle,2,both alone and jointly,both alone and jointly,1,1,no,0,,,3.0,4,3,female,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
74,       3 143  1,Nepal,2016,province 1,29,11,1,urban,richer,3,alone only,alone only,1,1,currently working,1,cash only,more than him,9.0,2,1,female,not active in last 4 weeks - not postpartum abstinence,1,both want same,respondent alone,0,0,0,0,0,0
75,       3 150  2,Nepal,2016,province 1,27,3,1,urban,middle,2,does not own,does not own,0,0,in the past year,0,cash only,less than him,5.0,3,1,male,active in last 4 weeks,1,husband wants more,respondent and husband/partner,,,,,,
76,       3 157  1,Nepal,2016,province 1,18,10,1,urban,richer,3,does not own,does not own,0,0,no,0,,,9.0,3,0,female,not active in last 4 weeks - not postpartum abstinence,2,husband wants more,,0,0,0,0,0,0
77,       3 164  2,Nepal,2016,province 1,21,10,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,7.0,3,1,male,active in last 4 weeks,1,both want same,respondent alone,,,,,,
78,       3 171  2,Nepal,2016,province 1,28,9,1,urban,middle,2,does not own,does not own,0,0,no,0,,,9.0,8,2,female,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
79,       3 171  6,Nepal,2016,province 1,22,6,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,9.0,8,2,female,active in last 4 weeks,2,both want same,respondent alone,,,,,,
80,       3 178  4,Nepal,2016,province 1,32,9,1,urban,richest,4,alone only,does not own,1,0,currently working,1,cash only,less than him,11.0,9,2,male,active in last 4 weeks,2,both want same,respondent and husband/partner,,,,,,
81,       3 178  7,Nepal,2016,province 1,31,11,1,urban,richest,4,alone only,alone only,1,1,no,0,,,11.0,9,1,male,active in last 4 weeks,2,both want same,,,,,,,
82,       3 185  3,Nepal,2016,province 1,37,6,1,urban,richer,3,does not own,does not own,0,0,in the past year,0,cash only,less than him,9.0,6,1,male,active in last 4 weeks,3,husband wants more,respondent alone,0,0,0,0,0,0
83,       3 185  6,Nepal,2016,province 1,19,11,1,urban,richer,3,does not own,does not own,0,0,no,0,,,11.0,6,0,male,not active in last 4 weeks - not postpartum abstinence,1,both want same,,,,,,,
84,       3 192  2,Nepal,2016,province 1,31,7,1,urban,richer,3,does not own,alone only,0,1,currently working,1,cash only,less than him,9.0,5,2,male,active in last 4 weeks,2,husband wants fewer,respondent and husband/partner,,,,,,
86,       3 206  5,Nepal,2016,province 1,23,7,1,urban,richer,3,does not own,does not own,0,0,no,0,,,7.0,6,1,male,active in last 4 weeks,1,husband wants more,,,,,,,
87,       4   7  2,Nepal,2016,province 1,49,3,1,urban,richest,4,does not own,alone only,0,1,currently working,1,cash and in-kind,less than him,9.0,3,3,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,0,0,0,0,0,0
88,       4  14  4,Nepal,2016,province 1,42,0,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,in-kind only,,5.0,7,4,male,active in last 4 weeks,2,,,,,,,,
90,       4  27  1,Nepal,2016,province 1,31,0,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash and in-kind,less than him,8.0,4,3,female,not active in last 4 weeks - not postpartum abstinence,1,both want same,respondent and husband/partner,,,,,,
91,       4  34  1,Nepal,2016,province 1,29,0,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,8.0,4,3,female,not active in last 4 weeks - not postpartum abstinence,1,both want same,respondent alone,0,0,0,0,0,0
92,       4  41  2,Nepal,2016,province 1,33,0,1,urban,poorest,0,does not own,does not own,0,0,currently working,1,cash only,less than him,0.0,7,5,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
93,       4  48  1,Nepal,2016,province 1,40,2,1,urban,poorer,1,jointly only,does not own,1,0,currently working,1,in-kind only,,2.0,3,2,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,,1,1,1,1,1,3
94,       4  62  1,Nepal,2016,province 1,33,0,1,urban,poorer,1,does not own,does not own,0,0,no,0,,,5.0,3,3,female,not active in last 4 weeks - not postpartum abstinence,2,,,0,0,0,0,0,0
95,       4  69  1,Nepal,2016,province 1,36,9,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash and in-kind,less than him,7.0,5,2,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent and husband/partner,,,,,,
96,       4  76  1,Nepal,2016,province 1,25,1,1,urban,middle,2,does not own,does not own,0,0,no,0,,,4.0,2,1,female,not active in last 4 weeks - postpartum abstinence,2,husband wants more,,0,0,0,0,0,0
97,       4  83  1,Nepal,2016,province 1,37,0,1,urban,poorer,1,does not own,does not own,0,0,no,0,,,8.0,2,2,female,not active in last 4 weeks - postpartum abstinence,2,both want same,,,,,,,
98,       4  90  2,Nepal,2016,province 1,46,0,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash and in-kind,about the same,2.0,4,3,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
99,       4  90  4,Nepal,2016,province 1,21,8,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash and in-kind,less than him,11.0,4,0,male,active in last 4 weeks,2,husband wants fewer,respondent and husband/partner,0,0,0,0,0,0
100,       4  97  3,Nepal,2016,province 1,38,4,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash and in-kind,less than him,7.0,6,3,male,not active in last 4 weeks - not postpartum abstinence,2,,respondent alone,,,,,,
102,       4 104  2,Nepal,2016,province 1,32,11,1,urban,richer,3,does not own,does not own,0,0,currently working,1,not paid,,10.0,6,2,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
103,       4 111  1,Nepal,2016,province 1,29,11,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,10.0,2,1,female,not active in last 4 weeks - postpartum abstinence,1,both want same,,,,,,,
104,       4 118  3,Nepal,2016,province 1,22,10,1,urban,richer,3,does not own,alone only,0,1,currently working,1,cash and in-kind,less than him,7.0,8,0,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent and husband/partner,0,0,0,0,0,0
107,       4 118  6,Nepal,2016,province 1,32,5,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,8.0,8,4,male,not active in last 4 weeks - not postpartum abstinence,2,husband wants fewer,respondent alone,,,,,,
108,       4 118  7,Nepal,2016,province 1,23,11,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,more than him,11.0,8,1,male,not active in last 4 weeks - not postpartum abstinence,1,both want same,respondent alone,,,,,,
109,       4 125  4,Nepal,2016,province 1,22,9,1,urban,poorest,0,does not own,does not own,0,0,no,0,,,7.0,8,1,male,active in last 4 weeks,2,both want same,,,,,,,
111,       4 132  2,Nepal,2016,province 1,23,11,1,urban,richest,4,does not own,does not own,0,0,"have a job, but on leave last 7 days",1,cash only,less than him,10.0,7,1,male,active in last 4 weeks,2,both want same,respondent alone,0,0,0,0,0,0
113,       4 146  3,Nepal,2016,province 1,24,11,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,9.0,5,1,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,0,0,0,0,0,0
114,       4 160  2,Nepal,2016,province 1,47,0,1,urban,middle,2,does not own,alone only,0,1,currently working,1,not paid,,0.0,3,4,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,,,,,,
115,       4 160  3,Nepal,2016,province 1,26,8,1,urban,middle,2,does not own,does not own,0,0,no,0,,,10.0,3,0,male,not active in last 4 weeks - not postpartum abstinence,1,both want same,,0,0,0,0,0,0
116,       4 167  1,Nepal,2016,province 1,29,2,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash and in-kind,less than him,3.0,4,3,female,not active in last 4 weeks - not postpartum abstinence,2,husband wants more,respondent alone,,,,,,
117,       4 181  2,Nepal,2016,province 1,46,5,1,urban,richer,3,does not own,alone only,0,1,no,0,,,9.0,5,4,male,active in last 4 weeks,2,both want same,,,,,,,
119,       4 188  1,Nepal,2016,province 1,37,4,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash and in-kind,less than him,8.0,6,2,female,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
120,       4 195  4,Nepal,2016,province 1,21,11,1,urban,richer,3,does not own,does not own,0,0,no,0,,,10.0,10,1,male,not active in last 4 weeks - postpartum abstinence,2,both want same,,,,,,,
121,       4 195  9,Nepal,2016,province 1,22,10,1,urban,richer,3,alone only,does not own,1,0,currently working,1,cash and in-kind,husband/partner doesn't bring in money,5.0,10,1,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent and husband/partner,,,,,,
122,       4 202  2,Nepal,2016,province 1,42,0,1,urban,richer,3,does not own,alone only,0,1,currently working,1,cash only,about the same,0.0,4,3,male,active in last 4 weeks,2,both want same,husband/partner alone,,,,,,
125,       5  21  2,Nepal,2016,province 1,32,6,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,2.0,5,3,male,active in last 4 weeks,2,,respondent alone,,,,,,
126,       5  34  3,Nepal,2016,province 1,25,9,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,11.0,6,0,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
127,       5  34  4,Nepal,2016,province 1,30,9,1,urban,richer,3,does not own,does not own,0,0,no,0,,,11.0,6,1,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
128,       5  47  2,Nepal,2016,province 1,38,7,1,urban,richest,4,does not own,does not own,0,0,currently working,1,cash only,about the same,11.0,4,2,male,active in last 4 weeks,1,both want same,respondent and husband/partner,,,,,,
129,       5  84  2,Nepal,2016,province 1,19,5,1,urban,poorest,0,does not own,does not own,0,0,currently working,1,cash only,less than him,7.0,5,3,male,active in last 4 weeks,2,both want same,respondent alone,1,1,1,1,1,3
130,       5 109  3,Nepal,2016,province 1,32,11,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,10.0,7,1,male,not active in last 4 weeks - not postpartum abstinence,1,husband wants more,respondent alone,0,0,0,0,0,0
131,       5 109  6,Nepal,2016,province 1,22,10,1,urban,richer,3,does not own,does not own,0,0,no,0,,,9.0,7,1,male,active in last 4 weeks,2,both want same,,,,,,,
132,       5 122  1,Nepal,2016,province 1,33,4,1,urban,middle,2,alone only,alone only,1,1,no,0,,,8.0,3,1,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,,,,,,,
133,       5 134  2,Nepal,2016,province 1,49,0,1,urban,middle,2,does not own,does not own,0,0,no,0,,,6.0,3,5,male,active in last 4 weeks,3,,,,,,,,
135,       5 147  1,Nepal,2016,province 1,36,5,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,cash only,less than him,8.0,3,3,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
137,       5 159  1,Nepal,2016,province 1,38,0,1,urban,poorer,1,does not own,does not own,0,0,no,0,,,8.0,2,2,female,not active in last 4 weeks - not postpartum abstinence,2,don't know,,1,1,1,0,1,2
138,       5 197  1,Nepal,2016,province 1,32,7,1,urban,middle,2,alone only,does not own,1,0,no,0,,,10.0,4,2,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,,,,,,,
139,       5 209  2,Nepal,2016,province 1,36,0,1,urban,richer,3,does not own,does not own,0,0,no,0,,,5.0,5,2,male,active in last 4 weeks,2,husband wants fewer,,0,0,0,0,0,0
140,       5 222  1,Nepal,2016,province 1,47,3,1,urban,poorest,0,does not own,does not own,0,0,currently working,1,cash only,don't know,0.0,2,1,female,not active in last 4 weeks - not postpartum abstinence,1,don't know,respondent alone,,,,,,
141,       5 235  2,Nepal,2016,province 1,42,0,1,urban,richer,3,does not own,does not own,0,0,currently working,1,not paid,,0.0,8,5,male,active in last 4 weeks,2,husband wants fewer,,0,1,0,0,1,1
142,       5 235  4,Nepal,2016,province 1,19,9,1,urban,richer,3,does not own,does not own,0,0,no,0,,,9.0,8,1,male,active in last 4 weeks,2,both want same,,,,,,,
144,       5 272  2,Nepal,2016,province 1,36,9,1,urban,poorer,1,does not own,does not own,0,0,no,0,,,7.0,4,4,male,not active in last 4 weeks - not postpartum abstinence,2,husband wants more,,,,,,,
145,       5 285  1,Nepal,2016,province 1,43,8,1,urban,middle,2,does not own,alone only,0,1,no,0,,,11.0,5,2,female,not active in last 4 weeks - not postpartum abstinence,2,husband wants more,,0,0,0,0,0,0
146,       5 310  2,Nepal,2016,province 1,37,10,1,urban,richest,4,does not own,alone only,0,1,no,0,,,11.0,4,2,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
147,       5 322  1,Nepal,2016,province 1,26,2,1,urban,poorest,0,does not own,does not own,0,0,in the past year,0,cash only,less than him,2.0,5,3,female,active in last 4 weeks,2,both want same,respondent and husband/partner,,,,,,
148,       5 335  1,Nepal,2016,province 1,33,3,1,urban,poorer,1,does not own,does not own,0,0,in the past year,0,cash only,less than him,3.0,6,3,female,active in last 4 weeks,2,both want same,respondent alone,0,0,0,0,0,0
149,       5 347  1,Nepal,2016,province 1,26,9,1,urban,richer,3,does not own,does not own,0,0,in the past year,0,cash only,less than him,8.0,3,2,female,not active in last 4 weeks - not postpartum abstinence,2,husband wants fewer,respondent alone,,,,,,
150,       5 360  2,Nepal,2016,province 1,23,0,1,urban,poorest,0,does not own,does not own,0,0,in the past year,0,cash only,less than him,6.0,3,1,male,active in last 4 weeks,2,both want same,husband/partner alone,0,1,1,0,1,1
151,       5 372  2,Nepal,2016,province 1,33,9,1,urban,richest,4,alone only,alone only,1,1,no,0,,,11.0,6,4,male,active in last 4 weeks,2,both want same,,,,,,,
153,       6  36  2,Nepal,2016,province 1,20,11,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,about the same,9.0,4,1,male,active in last 4 weeks,2,both want same,husband/partner alone,,,,,,
154,       6  45  1,Nepal,2016,province 1,26,10,1,urban,richest,4,alone only,does not own,1,0,currently working,1,cash only,about the same,8.0,3,1,female,active in last 4 weeks,2,husband wants fewer,respondent and husband/partner,0,0,0,0,0,0
156,       6  64  2,Nepal,2016,province 1,34,11,1,urban,richest,4,alone only,does not own,1,0,currently working,1,cash only,about the same,11.0,3,1,male,active in last 4 weeks,1,both want same,respondent and husband/partner,0,0,0,0,0,0
157,       6  73  2,Nepal,2016,province 1,39,0,1,urban,middle,2,does not own,does not own,0,0,in the past year,0,cash only,more than him,1.0,2,0,male,active in last 4 weeks,2,husband wants more,respondent alone,,,,,,
158,       6  83  2,Nepal,2016,province 1,39,0,1,urban,richest,4,does not own,does not own,0,0,no,0,,,8.0,4,2,male,active in last 4 weeks,4,husband wants fewer,,0,0,0,0,0,0
160,       6 120  2,Nepal,2016,province 1,22,10,1,urban,richest,4,does not own,does not own,0,0,currently working,1,cash only,less than him,11.0,5,1,male,active in last 4 weeks,2,both want same,respondent and husband/partner,,,,,,
161,       6 120  4,Nepal,2016,province 1,29,11,1,urban,richest,4,does not own,does not own,0,0,no,0,,,11.0,5,0,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
162,       6 139  2,Nepal,2016,province 1,35,5,1,urban,richest,4,both alone and jointly,does not own,1,0,no,0,,,8.0,5,4,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
164,       6 148  2,Nepal,2016,province 1,37,8,1,urban,richest,4,alone only,does not own,1,0,no,0,,,10.0,4,2,male,active in last 4 weeks,2,both want same,,,,,,,
166,       6 157  1,Nepal,2016,province 1,39,2,1,urban,richer,3,alone only,alone only,1,1,currently working,1,cash only,less than him,6.0,4,2,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
168,       6 167  1,Nepal,2016,province 1,28,5,1,urban,richer,3,does not own,does not own,0,0,no,0,,,6.0,3,2,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,,,,,,,
169,       6 176  3,Nepal,2016,province 1,22,5,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,5.0,5,2,female,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
