,caseid,country,year,province,age,education,if_union,if_urban,wealth_index,wealth_index_code,house_ownership,land_owenership,if_own_house,if_own_land,if_employment,if_employment_current,employment_pay_method,if_earn_more,partner_edu,num_household,num_child,sex_head_household,sexual_activity,ideal_num_child,partner_ideal_child,money_decide_person,if_emo_vio,if_phy_vio,if_phy_vio_severe,if_sex_vio,if_vio,num_vio
35,       2   7  2,Maldives,2016,malé,35,16,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,more than him,don't know,4,0,male,active in last 4 weeks,2,both want same,respondent and husband/partner,,,,,,
36,       2   8  1,Maldives,2016,malé,31,15,1,urban,richest,4,does not own,,0,1,in the past year,0,cash only,less than him,14.0,3,1,female,not active in last 4 weeks - postpartum abstinence,2,both want same,respondent alone,,,,,,
37,       2  14  2,Maldives,2016,malé,31,10,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,3,1,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
39,       2  19  6,Maldives,2016,malé,29,14,1,urban,richest,4,jointly only,,1,1,currently working,1,cash only,about the same,17.0,8,1,male,active in last 4 weeks,3,both want same,respondent alone,,,,,,
40,       2  20  2,Maldives,2016,malé,43,15,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,more than him,8.0,14,4,male,not active in last 4 weeks - not postpartum abstinence,4,both want same,respondent and husband/partner,,,,,,
41,       2  24  2,Maldives,2016,malé,31,10,1,urban,richest,4,jointly only,,1,1,no,0,,,15.0,6,2,male,active in last 4 weeks,2,both want same,,,,,,,
44,       3   6  1,Maldives,2016,malé,31,15,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,16.0,7,3,female,active in last 4 weeks,3,both want same,husband/partner alone,,,,,,
45,       3   7  2,Maldives,2016,malé,25,10,1,urban,richest,4,does not own,,0,1,no,0,,,14.0,7,1,male,active in last 4 weeks,3,both want same,,,,,,,
46,       3   7  5,Maldives,2016,malé,31,10,1,urban,richest,4,does not own,,0,1,no,0,,,10.0,7,1,male,active in last 4 weeks,2,both want same,,,,,,,
47,       3   9  1,Maldives,2016,malé,49,10,1,urban,richest,4,jointly only,,1,1,currently working,1,cash only,more than him,10.0,5,3,female,active in last 4 weeks,4,both want same,respondent alone,0,0,0,0,0,0
50,       3  11  2,Maldives,2016,malé,40,13,1,urban,richest,4,jointly only,,1,1,currently working,1,cash only,more than him,10.0,5,2,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
53,       3  12  2,Maldives,2016,malé,47,1,1,urban,richest,4,alone only,,1,1,no,0,,,7.0,4,2,male,active in last 4 weeks,2,both want same,,,,,,,
55,       3  13  2,Maldives,2016,malé,42,10,1,urban,richest,4,does not own,,0,1,no,0,,,13.0,4,2,male,active in last 4 weeks,3,both want same,,,,,,,
56,       3  14  1,Maldives,2016,malé,30,10,1,urban,richest,4,does not own,,0,1,no,0,,,15.0,8,3,female,active in last 4 weeks,3,both want same,,,,,,,
58,       3  14  8,Maldives,2016,malé,25,10,1,urban,richest,4,does not own,,0,1,no,0,,,10.0,8,0,female,active in last 4 weeks,2,both want same,,,,,,,
59,       3  15  1,Maldives,2016,malé,49,7,1,urban,richer,3,does not own,,0,1,no,0,,,don't know,4,1,female,active in last 4 weeks,0,both want same,,0,0,0,0,0,0
60,       3  16  3,Maldives,2016,malé,29,14,1,urban,richest,4,does not own,,0,1,no,0,,,don't know,6,1,male,active in last 4 weeks,2,don't know,,0,0,0,0,0,0
62,       3  21  3,Maldives,2016,malé,29,12,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,10.0,8,1,male,active in last 4 weeks,2,both want same,respondent and husband/partner,,,,,,
64,       3  23  3,Maldives,2016,malé,23,12,1,urban,middle,2,does not own,,0,1,no,0,,,10.0,12,0,male,not active in last 4 weeks - not postpartum abstinence,4,don't know,,0,0,0,0,0,0
69,       3  24  2,Maldives,2016,malé,41,3,1,urban,richest,4,does not own,,0,1,no,0,,,don't know,7,2,male,active in last 4 weeks,3,both want same,,,,,,,
74,       3  25  3,Maldives,2016,malé,33,6,1,urban,richer,3,does not own,,0,1,no,0,,,2.0,12,4,female,active in last 4 weeks,3,both want same,,,,,,,
75,       4   2  2,Maldives,2016,malé,33,13,1,urban,richer,3,does not own,,0,1,in the past year,0,cash only,less than him,12.0,4,1,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
76,       4   3  3,Maldives,2016,malé,49,10,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,more than him,9.0,17,2,female,active in last 4 weeks,4,husband wants more,respondent and husband/partner,,,,,,
77,       4   5  2,Maldives,2016,malé,34,13,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,8,3,male,active in last 4 weeks,4,both want same,respondent and husband/partner,0,1,0,0,1,1
78,       4   6  2,Maldives,2016,malé,35,10,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,4,2,male,active in last 4 weeks,3,both want same,,0,0,0,0,0,0
79,       4   8  2,Maldives,2016,malé,44,10,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,10.0,5,3,male,active in last 4 weeks,3,both want same,respondent alone,0,0,0,0,0,0
80,       4   9  2,Maldives,2016,malé,28,15,1,urban,richest,4,does not own,,0,1,no,0,,,17.0,10,1,male,active in last 4 weeks,4,husband wants more,,,,,,,
81,       4  10  3,Maldives,2016,malé,30,15,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,don't know,6,1,female,not active in last 4 weeks - not postpartum abstinence,3,both want same,respondent and husband/partner,,,,,,
82,       4  11  1,Maldives,2016,malé,38,4,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,8,4,female,not active in last 4 weeks - not postpartum abstinence,4,both want same,,,,,,,
85,       4  12  2,Maldives,2016,malé,37,15,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,17.0,3,1,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
86,       4  15  2,Maldives,2016,malé,36,15,1,urban,richest,4,does not own,,0,1,no,0,,,17.0,6,3,male,active in last 4 weeks,5,both want same,,0,0,0,0,0,0
87,       4  17  4,Maldives,2016,malé,48,7,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,7.0,16,2,female,active in last 4 weeks,2,both want same,respondent alone,,,,,,
89,       4  19  3,Maldives,2016,malé,41,10,1,urban,richer,3,does not own,,0,1,no,0,,,7.0,6,2,male,active in last 4 weeks,3,both want same,,1,1,1,0,1,2
90,       4  20  2,Maldives,2016,malé,31,14,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,8,2,male,not active in last 4 weeks - not postpartum abstinence,1,both want same,respondent and husband/partner,,,,,,
91,       4  23  4,Maldives,2016,malé,22,12,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,5,0,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
92,       4  24  2,Maldives,2016,malé,27,10,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,8,0,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
95,       4  25  2,Maldives,2016,malé,31,13,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,about the same,13.0,9,3,male,active in last 4 weeks,non-numeric response,both want same,respondent and husband/partner,,,,,,
102,       5   7  2,Maldives,2016,malé,35,10,1,urban,richest,4,does not own,,0,1,no,0,,,7.0,2,3,male,active in last 4 weeks,4,,,0,0,0,0,0,0
103,       5  10  4,Maldives,2016,malé,37,16,1,urban,richest,4,jointly only,,1,1,in the past year,0,cash only,about the same,10.0,24,2,female,active in last 4 weeks,5,both want same,respondent and husband/partner,0,0,0,0,0,0
104,       5  10  7,Maldives,2016,malé,37,10,1,urban,richest,4,alone only,,1,1,currently working,1,cash only,about the same,0.0,24,2,female,active in last 4 weeks,0,husband wants more,respondent and husband/partner,,,,,,
105,       5  10 12,Maldives,2016,malé,36,10,1,urban,richest,4,does not own,,0,1,in the past year,0,cash only,less than him,9.0,24,1,female,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
106,       5  10 15,Maldives,2016,malé,29,10,1,urban,richest,4,does not own,,0,1,no,0,,,10.0,24,1,female,active in last 4 weeks,2,both want same,,,,,,,
107,       5  10 18,Maldives,2016,malé,24,10,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,about the same,10.0,24,1,female,active in last 4 weeks,4,husband wants more,husband/partner alone,,,,,,
108,       5  10 20,Maldives,2016,malé,29,10,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,7.0,24,1,female,active in last 4 weeks,4,both want same,respondent and husband/partner,,,,,,
111,       5  13  1,Maldives,2016,malé,48,0,1,urban,richer,3,does not own,,0,1,no,0,,,0.0,5,6,female,active in last 4 weeks,4,don't know,,,,,,,
114,       5  13  4,Maldives,2016,malé,29,14,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,more than him,10.0,5,0,female,active in last 4 weeks,4,both want same,respondent and husband/partner,,,,,,
115,       5  17  2,Maldives,2016,malé,36,10,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,4,2,male,active in last 4 weeks,3,both want same,,0,0,0,0,0,0
116,       5  19  2,Maldives,2016,malé,45,4,1,urban,richest,4,jointly only,,1,1,currently working,1,cash only,less than him,don't know,8,4,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
118,       5  24  1,Maldives,2016,malé,44,3,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,5.0,9,5,female,active in last 4 weeks,3,don't know,respondent and husband/partner,,,,,,
120,       5  24  6,Maldives,2016,malé,20,10,1,urban,richer,3,does not own,,0,1,no,0,,,7.0,9,1,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,1,0,0,1,1
122,       6   1  5,Maldives,2016,malé,26,10,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,15.0,17,0,male,active in last 4 weeks,2,don't know,husband/partner alone,,,,,,
123,       6   1  7,Maldives,2016,malé,23,10,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,17,2,male,active in last 4 weeks,3,both want same,,,,,,,
124,       6   1 12,Maldives,2016,malé,26,10,1,urban,richer,3,does not own,,0,1,no,0,,,8.0,17,1,male,active in last 4 weeks,2,husband wants fewer,,,,,,,
125,       6   3  4,Maldives,2016,malé,23,10,1,urban,middle,2,does not own,,0,1,in the past year,0,cash only,about the same,don't know,7,1,female,active in last 4 weeks,3,don't know,respondent and husband/partner,0,0,0,0,0,0
126,       6   4  1,Maldives,2016,malé,31,10,1,urban,richest,4,jointly only,,1,1,in the past year,0,cash only,less than him,10.0,2,1,female,active in last 4 weeks,3,both want same,respondent alone,1,1,0,0,1,2
129,       6  11  2,Maldives,2016,malé,42,7,1,urban,richer,3,does not own,,0,1,no,0,,,7.0,8,2,male,not active in last 4 weeks - not postpartum abstinence,1,both want same,,,,,,,
130,       6  12  2,Maldives,2016,malé,34,7,1,urban,richer,3,does not own,,0,1,no,0,,,don't know,4,2,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
131,       6  15  2,Maldives,2016,malé,38,14,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,12.0,6,2,female,active in last 4 weeks,non-numeric response,husband wants more,respondent alone,,,,,,
133,       6  16  1,Maldives,2016,malé,41,6,1,urban,richest,4,does not own,,0,1,no,0,,,5.0,5,4,female,not active in last 4 weeks - not postpartum abstinence,4,both want same,,0,1,0,0,1,1
135,       6  22  1,Maldives,2016,malé,41,13,1,urban,richest,4,alone only,,1,1,currently working,1,cash only,more than him,15.0,4,3,female,active in last 4 weeks,2,both want same,respondent alone,1,0,0,0,1,1
136,       6  23  2,Maldives,2016,malé,40,5,1,urban,richer,3,does not own,,0,1,no,0,,,5.0,9,5,male,active in last 4 weeks,3,both want same,,,,,,,
140,       7   5  3,Maldives,2016,malé,35,15,1,urban,richest,4,does not own,,0,1,no,0,,,13.0,9,3,female,active in last 4 weeks,3,,,0,0,0,0,0,0
141,       7   8  2,Maldives,2016,malé,28,10,1,urban,middle,2,alone only,,1,1,no,0,,,10.0,4,1,male,active in last 4 weeks,3,both want same,,,,,,,
143,       7   9  2,Maldives,2016,malé,33,17,1,urban,richest,4,does not own,,0,1,"have a job, but on leave last 7 days",1,cash only,less than him,13.0,6,3,male,not active in last 4 weeks - postpartum abstinence,2,both want same,respondent alone,,,,,,
144,       7  10  2,Maldives,2016,malé,29,10,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,16.0,9,2,male,active in last 4 weeks,4,husband wants more,respondent and husband/partner,,,,,,
147,       7  11  2,Maldives,2016,malé,19,10,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,7,1,male,not active in last 4 weeks - postpartum abstinence,3,both want same,respondent alone,,,,,,
148,       7  11  3,Maldives,2016,malé,49,0,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,don't know,7,8,male,not active in last 4 weeks - not postpartum abstinence,non-numeric response,husband wants more,respondent alone,,,,,,
149,       7  12  2,Maldives,2016,malé,38,6,1,urban,richest,4,does not own,,0,1,no,0,,,0.0,5,3,male,active in last 4 weeks,4,both want same,,0,0,0,0,0,0
153,       7  14  2,Maldives,2016,malé,30,13,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,more than him,13.0,4,2,male,active in last 4 weeks,3,both want same,respondent and husband/partner,1,1,1,0,1,2
154,       7  15  1,Maldives,2016,malé,46,10,1,urban,poorer,1,does not own,,0,1,currently working,1,cash only,about the same,8.0,2,1,female,active in last 4 weeks,2,both want same,respondent and husband/partner,,,,,,
156,       7  18  1,Maldives,2016,malé,35,10,1,urban,richest,4,does not own,,0,1,no,0,,,10.0,5,2,female,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
157,       7  21  2,Maldives,2016,malé,34,13,1,urban,richest,4,does not own,,0,1,no,0,,,17.0,3,1,male,active in last 4 weeks,non-numeric response,both want same,,,,,,,
158,       7  22  2,Maldives,2016,malé,40,13,1,urban,poorer,1,does not own,,0,1,currently working,1,cash only,more than him,10.0,3,1,male,active in last 4 weeks,4,both want same,respondent and husband/partner,0,0,0,0,0,0
159,       7  25  1,Maldives,2016,malé,33,10,1,urban,richer,3,jointly only,,1,1,currently working,1,cash only,less than him,15.0,5,1,female,active in last 4 weeks,2,both want same,respondent and husband/partner,0,1,0,0,1,1
160,       7  25  3,Maldives,2016,malé,29,12,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,5,1,female,active in last 4 weeks,2,husband wants more,,,,,,,
161,       8   1  2,Maldives,2016,malé,48,8,1,urban,richest,4,does not own,,0,1,no,0,,,8.0,7,4,male,active in last 4 weeks,2,both want same,,,,,,,
163,       8   4  1,Maldives,2016,malé,30,13,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,12,3,female,active in last 4 weeks,5,husband wants more,respondent alone,1,0,0,0,1,1
164,       8   4  2,Maldives,2016,malé,32,10,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,12,1,female,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
166,       8   5  1,Maldives,2016,malé,37,7,1,urban,richer,3,does not own,,0,1,no,0,,,8.0,9,3,female,active in last 4 weeks,4,both want same,,0,0,0,0,0,0
168,       8   5  5,Maldives,2016,malé,31,10,1,urban,richer,3,alone only,,1,1,no,0,,,12.0,9,2,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,,,,,,,
170,       8   8  2,Maldives,2016,malé,46,13,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,don't know,5,7,male,active in last 4 weeks,4,,respondent and husband/partner,0,0,0,0,0,0
171,       8   9  2,Maldives,2016,malé,40,7,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,more than him,don't know,5,2,male,active in last 4 weeks,2,don't know,respondent alone,,,,,,
172,       8  10  2,Maldives,2016,malé,35,8,1,urban,middle,2,does not own,,0,1,currently working,1,cash only,less than him,7.0,5,2,male,not active in last 4 weeks - not postpartum abstinence,3,both want same,respondent alone,0,0,0,0,0,0
173,       8  11  1,Maldives,2016,malé,39,7,1,urban,richer,3,does not own,,0,1,in the past year,0,cash and in-kind,less than him,7.0,5,2,female,not active in last 4 weeks - not postpartum abstinence,4,both want same,respondent alone,0,0,0,0,0,0
175,       8  12  2,Maldives,2016,malé,47,7,1,urban,richest,4,does not own,,0,1,no,0,,,13.0,3,2,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
176,       8  13  2,Maldives,2016,malé,39,16,1,urban,richest,4,alone only,,1,1,no,0,,,17.0,9,3,male,active in last 4 weeks,4,,,0,0,0,0,0,0
178,       8  16  2,Maldives,2016,malé,35,13,1,urban,richest,4,jointly only,,1,1,no,0,,,13.0,4,2,male,active in last 4 weeks,2,husband wants more,,0,0,0,0,0,0
179,       8  17  2,Maldives,2016,malé,39,14,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,about the same,10.0,5,3,male,active in last 4 weeks,2,husband wants more,respondent and husband/partner,0,0,0,0,0,0
181,       9   1  3,Maldives,2016,malé,43,10,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,more than him,9.0,7,1,female,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
182,       9   1  5,Maldives,2016,malé,30,16,1,urban,richer,3,does not own,,0,1,no,0,,,7.0,7,1,female,active in last 4 weeks,3,both want same,,0,0,0,0,0,0
184,       9   3  2,Maldives,2016,malé,33,7,1,urban,richest,4,does not own,,0,1,in the past year,0,cash only,less than him,6.0,6,3,male,active in last 4 weeks,5,husband wants fewer,respondent and husband/partner,0,0,0,0,0,0
186,       9   6  2,Maldives,2016,malé,49,7,1,urban,richer,3,does not own,,0,1,no,0,,,don't know,3,2,male,not active in last 4 weeks - not postpartum abstinence,5,husband wants more,,,,,,,
190,       9  10  5,Maldives,2016,malé,30,14,1,urban,richest,4,alone only,,1,1,currently working,1,cash only,about the same,15.0,10,0,female,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
191,       9  10  6,Maldives,2016,malé,27,9,1,urban,richest,4,does not own,,0,1,in the past year,0,cash only,less than him,10.0,10,2,female,active in last 4 weeks,3,don't know,respondent and husband/partner,,,,,,
193,       9  13  3,Maldives,2016,malé,40,8,1,urban,richer,3,alone only,,1,1,"have a job, but on leave last 7 days",1,cash only,less than him,0.0,5,2,male,not active in last 4 weeks - not postpartum abstinence,4,husband wants more,respondent alone,0,0,0,0,0,0
196,       9  14  2,Maldives,2016,malé,48,13,1,urban,richest,4,alone only,,1,1,currently working,1,cash only,more than him,8.0,5,2,female,not active in last 4 weeks - not postpartum abstinence,4,husband wants fewer,respondent alone,0,1,0,0,1,1
200,       9  15  1,Maldives,2016,malé,39,10,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,5,3,female,active in last 4 weeks,2,husband wants more,,1,0,0,0,1,1
201,       9  16  2,Maldives,2016,malé,34,10,1,urban,richer,3,both alone and jointly,,1,1,currently working,1,cash only,less than him,7.0,5,3,male,active in last 4 weeks,4,both want same,respondent alone,0,0,0,0,0,0
202,       9  19  1,Maldives,2016,malé,39,13,1,urban,richest,4,alone only,,1,1,no,0,,,9.0,4,3,female,active in last 4 weeks,4,husband wants fewer,,0,0,0,0,0,0
203,       9  21  2,Maldives,2016,malé,34,10,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,about the same,10.0,6,1,male,active in last 4 weeks,2,husband wants more,respondent alone,0,0,0,0,0,0
205,       9  23  2,Maldives,2016,malé,28,10,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,5,0,male,active in last 4 weeks,2,husband wants more,respondent and husband/partner,,,,,,
206,       9  24  1,Maldives,2016,malé,31,7,1,urban,poorest,0,does not own,,0,1,no,0,,,10.0,5,2,female,not active in last 4 weeks - not postpartum abstinence,3,both want same,,,,,,,
207,      10   2  2,Maldives,2016,malé,41,10,1,urban,richest,4,alone only,,1,1,currently working,1,cash only,less than him,8.0,4,2,male,active in last 4 weeks,5,both want same,respondent alone,0,0,0,0,0,0
210,      10   3 15,Maldives,2016,malé,31,5,1,urban,richer,3,alone only,,1,1,currently working,1,cash only,less than him,7.0,17,5,female,not active in last 4 weeks - postpartum abstinence,4,both want same,respondent and husband/partner,,,,,,
211,      10   3 16,Maldives,2016,malé,27,9,1,urban,richer,3,does not own,,0,1,no,0,,,6.0,17,0,female,active in last 4 weeks,2,both want same,,,,,,,
212,      10   4  2,Maldives,2016,malé,25,10,1,urban,poorer,1,does not own,,0,1,currently working,1,cash only,less than him,10.0,2,0,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
213,      10   5  2,Maldives,2016,malé,23,10,1,urban,middle,2,does not own,,0,1,currently working,1,cash only,less than him,10.0,3,0,male,active in last 4 weeks,5,both want same,respondent and husband/partner,0,0,0,0,0,0
215,      10   6  5,Maldives,2016,malé,35,7,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,7.0,7,2,male,active in last 4 weeks,non-numeric response,husband wants more,respondent and husband/partner,0,0,0,0,0,0
217,      10   8  3,Maldives,2016,malé,36,10,1,urban,richest,4,does not own,,0,1,no,0,,,7.0,24,1,female,not active in last 4 weeks - not postpartum abstinence,non-numeric response,don't know,,,,,,,
218,      10   8  6,Maldives,2016,malé,34,7,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,0.0,24,2,female,not active in last 4 weeks - not postpartum abstinence,2,husband wants more,respondent and husband/partner,0,0,0,0,0,0
219,      10   8 10,Maldives,2016,malé,32,10,1,urban,richest,4,does not own,,0,1,no,0,,,10.0,24,2,female,not active in last 4 weeks - not postpartum abstinence,4,both want same,,,,,,,
220,      10   8 23,Maldives,2016,malé,22,10,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,10.0,24,0,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
221,      10  11  2,Maldives,2016,malé,46,16,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,0.0,7,0,male,active in last 4 weeks,4,husband wants fewer,respondent alone,0,0,0,0,0,0
222,      10  11  5,Maldives,2016,malé,32,14,1,urban,richest,4,does not own,,0,1,"have a job, but on leave last 7 days",1,cash only,more than him,10.0,7,2,male,not active in last 4 weeks - postpartum abstinence,3,husband wants fewer,respondent and husband/partner,,,,,,
223,      10  12  2,Maldives,2016,malé,35,7,1,urban,richer,3,does not own,,0,1,no,0,,,7.0,9,1,male,active in last 4 weeks,2,both want same,,,,,,,
224,      10  12  5,Maldives,2016,malé,26,15,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,about the same,10.0,9,0,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent and husband/partner,,,,,,
226,      10  12  7,Maldives,2016,malé,21,14,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,9,0,male,active in last 4 weeks,2,both want same,,,,,,,
227,      10  13  1,Maldives,2016,malé,29,10,1,urban,richer,3,jointly only,,1,1,no,0,,,8.0,7,1,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,,,,,,,
228,      10  13  2,Maldives,2016,malé,30,10,1,urban,richer,3,jointly only,,1,1,no,0,,,10.0,7,2,female,active in last 4 weeks,2,husband wants more,,,,,,,
