,caseid,country,year,province,age,education,if_union,if_urban,wealth_index,wealth_index_code,house_ownership,land_owenership,if_own_house,if_own_land,if_employment,if_employment_current,employment_pay_method,if_earn_more,partner_edu,num_household,num_child,sex_head_household,sexual_activity,ideal_num_child,partner_ideal_child,money_decide_person,if_emo_vio,if_phy_vio,if_phy_vio_severe,if_sex_vio,if_vio,num_vio
44,         224  2,Cambodia,2014,banteay mean chey,38,3,1,rural,middle,2,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,4.0,7,4,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
45,         225  3,Cambodia,2014,banteay mean chey,23,7,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,5.0,5,1,male,active in last 4 weeks,2,husband wants more,respondent and husband/partner,0,0,0,0,0,0
46,         227  2,Cambodia,2014,banteay mean chey,22,8,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,8.0,3,1,male,active in last 4 weeks,3,husband wants fewer,respondent alone,,,,,,
47,         228  3,Cambodia,2014,banteay mean chey,28,6,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,about the same,2.0,6,2,male,active in last 4 weeks,2,husband wants more,respondent alone,0,0,0,0,0,0
49,         3 2  2,Cambodia,2014,banteay mean chey,22,9,1,rural,richest,4,does not own,does not own,0,0,currently working,1,cash only,less than him,12.0,6,1,female,active in last 4 weeks,3,husband wants more,respondent and husband/partner,,,,,,
51,         3 7  2,Cambodia,2014,banteay mean chey,34,1,1,rural,richer,3,does not own,does not own,0,0,currently working,1,cash only,about the same,5.0,6,4,male,not active in last 4 weeks - not postpartum abstinence,3,husband wants more,respondent and husband/partner,0,0,0,0,0,0
53,         310  2,Cambodia,2014,banteay mean chey,37,5,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,about the same,7.0,6,3,male,not active in last 4 weeks - not postpartum abstinence,5,both want same,respondent and husband/partner,0,0,0,0,0,0
54,         312  2,Cambodia,2014,banteay mean chey,41,8,1,rural,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,less than him,8.0,4,2,male,active in last 4 weeks,5,both want same,respondent and husband/partner,,,,,,
55,         313  1,Cambodia,2014,banteay mean chey,48,1,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,0.0,6,6,female,active in last 4 weeks,4,both want same,respondent alone,0,0,0,0,0,0
56,         317  2,Cambodia,2014,banteay mean chey,43,3,1,rural,richer,3,jointly only,jointly only,1,1,no,0,,,8.0,5,5,male,not active in last 4 weeks - not postpartum abstinence,5,don't know,,,,,,,
57,         318  3,Cambodia,2014,banteay mean chey,21,3,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,10.0,9,1,male,active in last 4 weeks,1,husband wants more,respondent alone,,,,,,
58,         319  2,Cambodia,2014,banteay mean chey,43,4,1,rural,middle,2,jointly only,jointly only,1,1,no,0,,,5.0,4,7,male,not active in last 4 weeks - not postpartum abstinence,6,don't know,,1,1,1,0,1,2
59,         321  2,Cambodia,2014,banteay mean chey,39,9,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,9.0,3,3,male,active in last 4 weeks,7,,respondent alone,,,,,,
60,         322  2,Cambodia,2014,banteay mean chey,31,5,1,rural,richest,4,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,7.0,5,3,male,active in last 4 weeks,3,both want same,respondent and husband/partner,1,1,0,0,1,2
61,         323  2,Cambodia,2014,banteay mean chey,47,3,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,6.0,5,3,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
62,         324  2,Cambodia,2014,banteay mean chey,27,5,1,rural,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,4.0,4,1,male,not active in last 4 weeks - not postpartum abstinence,2,don't know,respondent alone,,,,,,
63,         326  3,Cambodia,2014,banteay mean chey,31,4,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,5.0,5,1,female,not active in last 4 weeks - not postpartum abstinence,3,both want same,husband/partner alone,,,,,,
64,         327  2,Cambodia,2014,banteay mean chey,27,6,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,3.0,5,0,female,not active in last 4 weeks - not postpartum abstinence,2,don't know,respondent alone,,,,,,
66,         4 4  3,Cambodia,2014,banteay mean chey,35,5,1,urban,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,5.0,8,3,male,active in last 4 weeks,3,both want same,respondent alone,0,0,0,0,0,0
71,         4 9  3,Cambodia,2014,banteay mean chey,35,8,1,urban,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,8.0,7,3,female,active in last 4 weeks,4,both want same,respondent alone,,,,,,
75,         416  2,Cambodia,2014,banteay mean chey,47,4,1,urban,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,7.0,4,4,male,active in last 4 weeks,4,husband wants more,respondent and husband/partner,0,0,0,0,0,0
76,         419  3,Cambodia,2014,banteay mean chey,34,2,1,urban,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,less than him,8.0,6,3,female,active in last 4 weeks,4,both want same,respondent alone,0,0,0,0,0,0
79,         423  2,Cambodia,2014,banteay mean chey,34,5,1,urban,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,about the same,2.0,6,4,male,active in last 4 weeks,5,husband wants fewer,respondent and husband/partner,,,,,,
80,         424  4,Cambodia,2014,banteay mean chey,20,5,1,urban,richest,4,does not own,does not own,0,0,currently working,1,cash only,about the same,8.0,5,1,male,active in last 4 weeks,3,husband wants more,respondent and husband/partner,,,,,,
81,         5 1  2,Cambodia,2014,banteay mean chey,42,11,1,urban,richest,4,does not own,does not own,0,0,currently working,1,cash only,less than him,0.0,5,3,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
82,         5 2  4,Cambodia,2014,banteay mean chey,22,12,1,urban,richest,4,does not own,does not own,0,0,no,0,,,12.0,8,1,male,active in last 4 weeks,2,both want same,,,,,,,
83,         5 2  7,Cambodia,2014,banteay mean chey,23,9,1,urban,richest,4,does not own,does not own,0,0,no,0,,,16.0,8,1,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,,,,,,
84,         5 4  2,Cambodia,2014,banteay mean chey,37,7,1,urban,richest,4,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,0.0,5,3,male,not active in last 4 weeks - not postpartum abstinence,3,both want same,respondent and husband/partner,,,,,,
88,         511  2,Cambodia,2014,banteay mean chey,31,12,1,urban,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,less than him,12.0,3,1,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
89,         512  2,Cambodia,2014,banteay mean chey,30,9,1,urban,richest,4,does not own,does not own,0,0,currently working,1,cash only,about the same,9.0,6,2,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
91,         513  2,Cambodia,2014,banteay mean chey,37,8,1,urban,richest,4,both alone and jointly,both alone and jointly,1,1,currently working,1,cash only,less than him,6.0,5,4,male,active in last 4 weeks,2,husband wants more,respondent and husband/partner,0,1,0,0,1,1
92,         514  7,Cambodia,2014,banteay mean chey,33,12,1,urban,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,less than him,9.0,7,2,female,not active in last 4 weeks - not postpartum abstinence,5,both want same,respondent alone,,,,,,
93,         515  2,Cambodia,2014,banteay mean chey,29,9,1,urban,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,about the same,12.0,5,2,male,active in last 4 weeks,2,husband wants more,respondent and husband/partner,,,,,,
94,         516  2,Cambodia,2014,banteay mean chey,33,6,1,urban,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,about the same,7.0,5,0,male,active in last 4 weeks,3,both want same,respondent and husband/partner,0,0,0,0,0,0
95,         517  4,Cambodia,2014,banteay mean chey,36,12,1,urban,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,about the same,12.0,5,0,male,active in last 4 weeks,2,both want same,respondent alone,,,,,,
97,         519  2,Cambodia,2014,banteay mean chey,40,10,1,urban,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,about the same,12.0,9,5,male,active in last 4 weeks,5,husband wants more,respondent and husband/partner,,,,,,
101,         522  2,Cambodia,2014,banteay mean chey,41,3,1,urban,richest,4,jointly only,jointly only,1,1,in the past year,0,cash only,about the same,11.0,4,3,male,active in last 4 weeks,3,both want same,respondent alone,0,0,0,0,0,0
105,         6 2  2,Cambodia,2014,banteay mean chey,41,6,1,rural,poorer,1,jointly only,jointly only,1,1,no,0,,,4.0,6,3,male,not active in last 4 weeks - not postpartum abstinence,3,both want same,,,,,,,
106,         6 2  3,Cambodia,2014,banteay mean chey,21,7,1,rural,poorer,1,does not own,does not own,0,0,in the past year,0,cash only,less than him,6.0,6,1,male,active in last 4 weeks,3,both want same,respondent alone,,,,,,
107,         6 3  2,Cambodia,2014,banteay mean chey,28,5,1,rural,middle,2,does not own,jointly only,0,1,currently working,1,not paid,,5.0,7,1,male,active in last 4 weeks,2,both want same,,,,,,,
110,         6 9  3,Cambodia,2014,banteay mean chey,28,12,1,rural,richer,3,both alone and jointly,both alone and jointly,1,1,currently working,1,cash only,about the same,9.0,5,2,male,active in last 4 weeks,3,husband wants fewer,respondent and husband/partner,,,,,,
111,         610  2,Cambodia,2014,banteay mean chey,45,5,1,rural,poorer,1,jointly only,jointly only,1,1,no,0,,,2.0,2,0,male,active in last 4 weeks,4,,,0,0,0,0,0,0
112,         611  2,Cambodia,2014,banteay mean chey,28,6,1,rural,middle,2,does not own,does not own,0,0,currently working,1,not paid,,3.0,4,1,male,active in last 4 weeks,3,husband wants fewer,,,,,,,
113,         612  2,Cambodia,2014,banteay mean chey,31,4,1,rural,poorer,1,does not own,does not own,0,0,currently working,1,cash only,less than him,3.0,4,2,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
114,         614  2,Cambodia,2014,banteay mean chey,31,4,1,rural,middle,2,jointly only,jointly only,1,1,in the past year,0,cash only,about the same,4.0,5,3,male,active in last 4 weeks,5,both want same,respondent and husband/partner,,,,,,
115,         619  2,Cambodia,2014,banteay mean chey,42,3,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,about the same,4.0,10,8,male,not active in last 4 weeks - not postpartum abstinence,4,both want same,respondent and husband/partner,,,,,,
116,         619  3,Cambodia,2014,banteay mean chey,25,2,1,rural,richer,3,alone only,alone only,1,1,in the past year,0,cash only,more than him,8.0,10,0,male,active in last 4 weeks,4,both want same,respondent alone,0,0,0,0,0,0
117,         619  4,Cambodia,2014,banteay mean chey,17,7,1,rural,richer,3,jointly only,alone only,1,1,no,0,,,8.0,10,1,male,active in last 4 weeks,3,both want same,,,,,,,
119,         620  4,Cambodia,2014,banteay mean chey,23,4,1,rural,middle,2,does not own,does not own,0,0,no,0,,,9.0,6,0,male,not active in last 4 weeks - not postpartum abstinence,3,both want same,,,,,,,
120,         621  2,Cambodia,2014,banteay mean chey,39,5,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,1.0,4,4,male,active in last 4 weeks,4,both want same,respondent and husband/partner,,,,,,
121,         622  2,Cambodia,2014,banteay mean chey,29,2,1,rural,poorer,1,jointly only,jointly only,1,1,no,0,,,0.0,5,3,male,active in last 4 weeks,3,both want same,,1,0,0,0,1,1
122,         623  2,Cambodia,2014,banteay mean chey,37,0,1,rural,poorer,1,jointly only,alone only,1,1,no,0,,,2.0,5,3,male,active in last 4 weeks,3,husband wants more,,,,,,,
123,         624  2,Cambodia,2014,banteay mean chey,34,7,1,rural,poorer,1,both alone and jointly,both alone and jointly,1,1,in the past year,0,cash only,less than him,4.0,2,0,male,active in last 4 weeks,5,both want same,respondent and husband/partner,,,,,,
124,         625  2,Cambodia,2014,banteay mean chey,27,0,1,rural,poorer,1,jointly only,does not own,1,0,currently working,1,not paid,,4.0,4,2,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
125,         626  2,Cambodia,2014,banteay mean chey,45,4,1,rural,middle,2,jointly only,jointly only,1,1,no,0,,,7.0,7,6,male,active in last 4 weeks,3,husband wants more,,,,,,,
126,         627  2,Cambodia,2014,banteay mean chey,38,5,1,rural,richer,3,jointly only,jointly only,1,1,no,0,,,3.0,5,1,male,active in last 4 weeks,3,husband wants more,,,,,,,
129,         7 1  2,Cambodia,2014,banteay mean chey,40,1,1,rural,poorer,1,alone only,alone only,1,1,in the past year,0,cash only,less than him,4.0,5,6,male,active in last 4 weeks,7,both want same,respondent and husband/partner,1,0,0,0,1,1
130,         7 2  3,Cambodia,2014,banteay mean chey,22,6,1,rural,middle,2,does not own,does not own,0,0,no,0,,,16.0,8,1,female,not active in last 4 weeks - not postpartum abstinence,6,both want same,,,,,,,
131,         7 4  2,Cambodia,2014,banteay mean chey,38,3,1,rural,richer,3,alone only,alone only,1,1,currently working,1,cash only,less than him,8.0,3,4,male,not active in last 4 weeks - not postpartum abstinence,4,husband wants fewer,respondent alone,0,0,0,0,0,0
133,         7 8  2,Cambodia,2014,banteay mean chey,39,3,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,4.0,4,4,male,active in last 4 weeks,3,both want same,respondent alone,,,,,,
134,         7 9  3,Cambodia,2014,banteay mean chey,30,12,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,5.0,8,2,male,not active in last 4 weeks - not postpartum abstinence,4,both want same,respondent alone,,,,,,
135,         710  3,Cambodia,2014,banteay mean chey,32,5,1,rural,middle,2,jointly only,jointly only,1,1,no,0,,,9.0,4,0,male,active in last 4 weeks,2,don't know,,0,0,0,0,0,0
136,         711  2,Cambodia,2014,banteay mean chey,35,8,1,rural,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,less than him,4.0,4,2,male,active in last 4 weeks,2,both want same,respondent alone,,,,,,
138,         712  2,Cambodia,2014,banteay mean chey,34,7,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,9.0,9,1,female,active in last 4 weeks,2,both want same,respondent alone,,,,,,
139,         712  3,Cambodia,2014,banteay mean chey,28,10,1,rural,richer,3,jointly only,jointly only,1,1,"have a job, but on leave last 7 days",1,cash only,less than him,7.0,9,2,female,not active in last 4 weeks - not postpartum abstinence,3,both want same,respondent alone,,,,,,
141,         714  1,Cambodia,2014,banteay mean chey,43,7,1,rural,richest,4,alone only,alone only,1,1,currently working,1,cash only,more than him,don't know,3,3,female,not active in last 4 weeks - not postpartum abstinence,6,both want same,respondent alone,,,,,,
143,         720  2,Cambodia,2014,banteay mean chey,25,7,1,rural,richer,3,does not own,does not own,0,0,in the past year,0,cash only,less than him,8.0,7,2,female,not active in last 4 weeks - not postpartum abstinence,4,both want same,respondent and husband/partner,,,,,,
144,         722  6,Cambodia,2014,banteay mean chey,21,5,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,8.0,6,0,male,not active in last 4 weeks - not postpartum abstinence,4,husband wants more,respondent and husband/partner,0,0,0,0,0,0
145,         723  2,Cambodia,2014,banteay mean chey,46,4,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,6.0,7,3,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
146,         723  4,Cambodia,2014,banteay mean chey,23,11,1,rural,richer,3,does not own,does not own,0,0,no,0,,,9.0,7,1,male,active in last 4 weeks,2,both want same,,,,,,,
148,         727  2,Cambodia,2014,banteay mean chey,31,11,1,rural,richest,4,jointly only,jointly only,1,1,currently working,1,cash only,less than him,9.0,7,2,male,not active in last 4 weeks - not postpartum abstinence,2,,respondent alone,,,,,,
149,         8 1  2,Cambodia,2014,banteay mean chey,38,4,1,rural,poorer,1,both alone and jointly,both alone and jointly,1,1,currently working,1,cash only,about the same,4.0,3,3,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
150,         8 2  2,Cambodia,2014,banteay mean chey,28,7,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,7.0,4,2,male,active in last 4 weeks,2,husband wants more,respondent and husband/partner,,,,,,
151,         8 3  2,Cambodia,2014,banteay mean chey,45,2,1,rural,richer,3,jointly only,jointly only,1,1,no,0,,,6.0,8,4,male,not active in last 4 weeks - not postpartum abstinence,4,don't know,,,,,,,
152,         8 3  3,Cambodia,2014,banteay mean chey,20,3,1,rural,richer,3,does not own,does not own,0,0,no,0,,,4.0,8,1,male,active in last 4 weeks,2,husband wants more,,,,,,,
154,         8 5  2,Cambodia,2014,banteay mean chey,30,4,1,rural,poorest,0,jointly only,jointly only,1,1,currently working,1,cash only,less than him,7.0,4,2,male,active in last 4 weeks,2,husband wants fewer,respondent and husband/partner,,,,,,
155,         8 6  2,Cambodia,2014,banteay mean chey,44,2,1,rural,poorest,0,jointly only,jointly only,1,1,currently working,1,cash only,less than him,5.0,3,2,male,active in last 4 weeks,4,both want same,respondent and husband/partner,,,,,,
156,         8 7  2,Cambodia,2014,banteay mean chey,48,0,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,3.0,3,2,male,active in last 4 weeks,4,both want same,respondent and husband/partner,0,0,0,0,0,0
157,         8 9  2,Cambodia,2014,banteay mean chey,41,3,1,rural,middle,2,alone only,alone only,1,1,currently working,1,cash only,less than him,3.0,7,4,male,active in last 4 weeks,3,both want same,respondent alone,,,,,,
158,         8 9  3,Cambodia,2014,banteay mean chey,18,7,1,rural,middle,2,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,1.0,7,1,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
160,         810  3,Cambodia,2014,banteay mean chey,21,6,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,8.0,5,0,male,active in last 4 weeks,3,both want same,respondent alone,0,0,0,0,0,0
161,         811  2,Cambodia,2014,banteay mean chey,45,3,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,about the same,3.0,6,4,male,active in last 4 weeks,3,husband wants more,respondent and husband/partner,,,,,,
163,         813  2,Cambodia,2014,banteay mean chey,22,9,1,rural,richer,3,does not own,does not own,0,0,currently working,1,not paid,,2.0,6,1,male,active in last 4 weeks,3,both want same,,,,,,,
166,         814  2,Cambodia,2014,banteay mean chey,49,1,1,rural,middle,2,both alone and jointly,both alone and jointly,1,1,currently working,1,cash only,less than him,3.0,6,4,male,not active in last 4 weeks - not postpartum abstinence,4,both want same,respondent and husband/partner,,,,,,
167,         814  4,Cambodia,2014,banteay mean chey,23,9,1,rural,middle,2,does not own,does not own,0,0,no,0,,,8.0,6,1,male,active in last 4 weeks,2,husband wants more,,,,,,,
168,         815  3,Cambodia,2014,banteay mean chey,24,9,1,rural,poorer,1,does not own,does not own,0,0,currently working,1,cash only,less than him,3.0,6,1,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
169,         816  3,Cambodia,2014,banteay mean chey,25,14,1,rural,poorer,1,does not own,does not own,0,0,currently working,1,cash only,less than him,7.0,5,1,male,active in last 4 weeks,3,husband wants more,respondent and husband/partner,0,0,0,0,0,0
170,         817  2,Cambodia,2014,banteay mean chey,34,3,1,rural,poorer,1,alone only,alone only,1,1,currently working,1,cash only,less than him,5.0,3,1,male,active in last 4 weeks,3,husband wants fewer,respondent alone,,,,,,
173,         819  3,Cambodia,2014,banteay mean chey,32,3,1,rural,middle,2,does not own,does not own,0,0,in the past year,0,cash only,less than him,6.0,5,1,male,active in last 4 weeks,3,husband wants more,respondent alone,0,0,0,1,1,1
175,         822  2,Cambodia,2014,banteay mean chey,39,1,1,rural,poorer,1,jointly only,jointly only,1,1,no,0,,,2.0,4,4,male,active in last 4 weeks,4,both want same,,0,0,0,0,0,0
176,         823  2,Cambodia,2014,banteay mean chey,38,1,1,rural,poorer,1,both alone and jointly,both alone and jointly,1,1,in the past year,0,cash only,less than him,1.0,5,3,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
